0.	0.	0.35355339059327334-0.3535533905932733*I	1.+6.938893903907228*^-17*I	0.35355339059327323+0.3535533905932732*I
0.	0.	0.4999999999999974-0.49999999999999734*I	1.+0.*I	-0.4999999999999974-0.49999999999999734*I
0.	0.	-0.49999999999999867+0.49999999999999856*I	0.9999999999999999+0.*I	0.49999999999999867+0.49999999999999856*I
0.	0.	-0.3535533905932742+0.3535533905932741*I	1.+5.551115123125783*^-17*I	-0.3535533905932741-0.35355339059327406*I
0.	0.5235987755982988	0.30618621784789724-0.5303300858899105*I	1.0655148811112305+0.10159705640164972*I	0.3061862178478973+0.17677669529663687*I
0.	0.5235987755982988	0.2500000000000001-0.4330127018922194*I	0.8988952674768174-0.24085826100057126*I	-0.7500000000000001-0.4330127018922193*I
0.	0.5235987755982988	-0.2500000000000001+0.4330127018922194*I	0.8988952674768174-0.24085826100057126*I	0.7500000000000001+0.4330127018922193*I
0.	0.5235987755982988	-0.30618621784789724+0.5303300858899105*I	1.0655148811112305+0.10159705640164968*I	-0.3061862178478974-0.17677669529663692*I
0.	1.0471975511965976	0.17677669529663653-0.6597396084411699*I	1.1762102470875482+0.09203556570018288*I	0.17677669529663712+0.04736717274537655*I
0.	1.0471975511965976	-0.06698729810778066+0.24999999999999997*I	0.6123724356957945-0.3535533905932737*I	0.9330127018922193+0.24999999999999994*I
0.	1.0471975511965976	0.06698729810778065-0.24999999999999994*I	0.6123724356957945-0.35355339059327356*I	-0.9330127018922191-0.2499999999999999*I
0.	1.0471975511965976	-0.1767766952966369+0.6597396084411711*I	1.1762102470875488+0.09203556570018316*I	-0.17677669529663764-0.0473671727453767*I
0.	1.5707963267948966	0.-0.707106781186547*I	1.2247448713915887+0.*I	0.
0.	1.5707963267948966	0.+0.*I	0.+2.1073424255447017*^-8*I	1.0000000000000002
0.	1.5707963267948966	0.+0.*I	2.5809568279517847*^-8+0.*I	-0.9999999999999997
0.	1.5707963267948966	0.+0.7071067811865488*I	1.2247448713915898+0.*I	0.
0.	2.0943951023931953	-0.1767766952966375-0.6597396084411732*I	1.1762102470875497-0.09203556570018374*I	-0.1767766952966377+0.04736717274537671*I
0.	2.0943951023931953	0.06698729810778067+0.24999999999999994*I	0.6123724356957942+0.3535533905932741*I	-0.9330127018922196+0.25000000000000006*I
0.	2.0943951023931953	-0.06698729810778072-0.2500000000000001*I	0.6123724356957944+0.35355339059327406*I	0.9330127018922196-0.25000000000000006*I
0.	2.0943951023931953	0.1767766952966375+0.6597396084411732*I	1.1762102470875497-0.09203556570018372*I	0.17677669529663806-0.047367172745376815*I
0.	2.6179938779914944	-0.3061862178478975-0.5303300858899113*I	1.0655148811112305-0.10159705640164968*I	-0.3061862178478984+0.1767766952966375*I
0.	2.6179938779914944	0.24999999999999986+0.4330127018922193*I	0.8988952674768175+0.2408582610005712*I	-0.7499999999999999+0.4330127018922192*I
0.	2.6179938779914944	-0.2499999999999999-0.43301270189221935*I	0.8988952674768175+0.24085826100057128*I	0.75-0.43301270189221924*I
